Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
54,Female,66.9,1.74,195,129,62,1.24,720.0,HIIT,29.5,2.1,2,1,22.1
52,Female,79.9,1.51,190,142,54,0.75,479.0,Strength,31.5,2.6,3,1,35.04
47,Male,73.9,1.8,173,140,50,1.36,942.0,Strength,28.3,3.7,3,1,22.81
31,Female,62.5,1.62,168,169,74,1.56,1318.0,HIIT,16.5,2.7,4,3,23.81
25,Female,65.4,1.77,160,141,58,0.89,627.0,Cardio,27.6,2.6,3,1,20.88
24,Male,87.1,1.74,187,158,67,1.57,1364.0,Strength,10.0,3.5,4,3,28.77
56,Male,90.2,1.61,163,168,51,1.38,1148.0,Yoga,22.6,2.3,3,2,34.8
47,Male,55.6,1.77,198,138,68,1.2,820.0,Cardio,24.3,2.9,4,2,17.75
18,Female,72.2,1.54,194,125,54,0.97,606.0,Strength,27.1,1.7,2,1,30.44
26,Male,55.7,1.68,182,129,54,1.13,802.0,Yoga,21.7,2.9,3,1,19.73
42,Male,73.5,1.63,188,136,68,0.52,350.0,Strength,26.1,3.2,3,1,27.66
20,Female,71.3,1.58,167,167,54,1.07,893.0,HIIT,25.4,1.5,3,2,28.56
53,Male,61.0,1.63,170,124,74,0.54,331.0,Cardio,20.0,3.4,3,1,22.96
59,Male,126.4,1.69,168,149,68,1.24,915.0,Strength,29.5,2.9,3,1,44.26
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.78
24,Female,59.4,1.5,199,132,60,1.25,825.0,Yoga,25.0,2.0,3,2,26.4
43,Male,94.0,1.79,187,156,62,1.31,1012.0,HIIT,23.2,3.4,2,1,29.34
22,Female,78.7,1.52,173,166,74,1.45,1204.0,Strength,31.5,2.3,3,2,34.06
32,Male,102.8,1.98,168,120,61,1.24,818.0,Strength,27.8,2.8,3,2,26.22
38,Female,76.6,1.58,199,130,53,0.74,481.0,Yoga,32.2,2.3,2,1,30.68
40,Male,52.1,1.61,198,128,70,0.87,612.0,HIIT,21.3,3.3,2,1,20.1
56,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,29.4,3.2,3,1,15.08
56,Male,89.0,1.68,176,152,65,1.77,1332.0,Yoga,10.5,3.5,5,3,31.53
31,Female,53.5,1.76,172,133,69,1.22,811.0,Strength,27.6,1.8,4,2,17.27
39,Female,55.9,1.71,184,148,59,1.95,1443.0,Yoga,19.5,2.7,5,3,19.12
34,Female,68.4,1.5,192,132,61,1.37,904.0,Cardio,33.7,2.1,4,2,30.4
45,Female,58.2,1.7,168,160,53,0.95,684.0,Yoga,26.8,2.0,3,1,20.14
31,Female,76.7,1.62,174,127,74,1.39,883.0,Yoga,28.1,2.3,4,2,29.23
39,Female,63.6,1.56,183,148,66,1.22,903.0,Strength,34.8,2.4,2,1,26.13
43,Female,73.0,1.59,191,158,67,1.31,931.0,Yoga,28.9,2.2,3,1,28.88
54,Female,56.5,1.75,196,154,66,1.76,1220.0,HIIT,15.3,2.7,5,3,18.45
30,Male,121.6,2.0,179,160,60,1.24,1091.0,Cardio,28.0,3.3,4,2,30.4
56,Male,118.0,1.9,199,126,68,0.66,412.0,HIIT,22.6,3.2,2,1,32.69
19,Female,72.4,1.75,169,140,64,1.2,840.0,Cardio,31.0,1.7,4,2,23.64
23,Female,44.1,1.62,196,122,58,0.58,354.0,Yoga,25.7,2.7,2,1,16.8
47,Male,89.1,1.84,168,159,65,1.44,1133.0,Yoga,24.0,3.6,3,2,26.32
18,Female,67.4,1.6,182,164,71,0.6,492.0,Strength,33.5,2.4,3,1,26.33
47,Female,61.9,1.54,190,131,61,1.95,1150.0,Yoga,16.4,2.7,4,3,26.1
56,Female,64.2,1.69,190,137,61,1.99,1227.0,Cardio,19.6,2.7,5,3,22.48
42,Male,97.9,1.91,193,136,73,1.01,680.0,Strength,29.0,2.8,3,2,26.84
51,Female,54.7,1.53,167,135,69,1.11,674.0,HIIT,26.8,2.0,4,2,23.37
34,Female,66.5,1.69,191,157,52,0.81,636.0,Cardio,28.1,2.3,3,1,23.28
42,Male,88.4,1.93,188,158,65,1.68,1314.0,Yoga,12.4,3.5,4,3,23.73
28,Male,66.0,1.9,175,158,56,1.18,1025.0,HIIT,24.1,3.0,3,1,18.28
30,Female,79.2,1.62,181,166,66,1.26,1046.0,Cardio,28.0,2.5,4,2,30.18
25,Male,66.6,1.61,184,166,56,1.38,1260.0,Strength,25.0,3.0,2,1,25.69
36,Male,99.9,1.99,189,147,73,1.33,1075.0,Yoga,20.9,2.5,3,1,25.23
31,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3,2,16.52
27,Male,104.3,1.68,162,135,62,1.28,950.0,Cardio,29.7,3.5,3,2,36.95
52,Male,82.4,1.72,166,137,53,1.01,685.0,Strength,24.4,2.7,4,2,27.85
55,Female,49.3,1.76,194,161,73,1.28,927.0,Strength,30.5,2.0,2,1,15.92
55,Female,70.8,1.62,166,162,68,0.54,394.0,Strength,26.0,1.8,3,1,26.98
41,Female,62.3,1.79,181,162,73,1.99,1451.0,Yoga,19.0,2.7,5,3,19.44
41,Male,74.3,1.61,160,136,51,1.06,714.0,Strength,24.8,3.5,4,2,28.66
57,Female,75.6,1.67,186,153,65,1.05,723.0,Cardio,31.6,1.8,3,2,27.11
19,Male,56.9,1.87,178,138,70,0.61,463.0,Cardio,23.3,3.7,3,1,16.27
27,Male,89.3,1.87,169,153,62,1.62,1363.0,Strength,12.7,3.5,5,3,25.54
45,Female,73.5,1.74,181,152,50,1.18,807.0,Cardio,30.0,2.3,4,2,24.28
23,Male,121.3,1.85,196,167,53,0.72,661.0,Yoga,21.6,3.6,2,1,35.44
48,Female,67.1,1.61,160,151,74,0.62,421.0,Cardio,33.4,1.5,2,1,25.89
58,Female,59.3,1.58,166,165,56,1.97,1463.0,Strength,19.8,2.7,4,3,23.75
24,Female,62.9,1.79,180,135,59,1.42,958.0,Cardio,27.3,2.3,4,2,19.63
45,Male,89.6,1.81,178,153,70,1.7,1287.0,Yoga,12.4,3.5,5,3,27.35
18,Male,62.0,1.85,161,121,53,0.88,586.0,Strength,23.7,3.0,3,1,18.12
25,Male,105.0,1.88,174,156,67,1.34,1150.0,Cardio,21.4,2.3,3,2,29.71
37,Male,75.1,1.82,189,127,60,1.23,859.0,Yoga,26.4,3.2,4,2,22.67
33,Female,68.2,1.75,177,150,71,0.85,638.0,Strength,29.0,1.7,2,1,22.27
59,Male,88.1,1.76,187,168,74,1.35,1123.0,Strength,26.9,3.0,3,2,28.44
49,Male,77.7,1.61,160,158,50,1.03,806.0,Strength,26.7,3.4,3,2,29.98
52,Male,105.2,1.62,189,141,61,1.36,949.0,HIIT,27.6,3.2,3,1,40.09
54,Male,54.6,1.76,160,137,56,1.28,868.0,Cardio,27.4,3.3,4,2,17.63
55,Male,129.9,1.73,187,155,60,0.69,529.0,Yoga,21.7,3.1,3,1,43.4
45,Male,52.4,1.85,186,161,73,1.2,956.0,Strength,25.2,2.5,3,1,15.31
56,Male,107.8,1.73,185,126,50,1.09,680.0,Yoga,26.6,2.8,3,2,36.02
35,Male,62.8,1.63,184,160,63,1.41,1241.0,Cardio,21.9,3.7,4,2,23.64
51,Female,66.2,1.58,164,129,65,0.86,499.0,HIIT,31.3,2.3,3,1,26.52
18,Male,82.3,1.84,190,148,66,1.73,1408.0,HIIT,13.3,3.5,5,3,24.31
22,Female,61.8,1.52,169,166,61,1.83,1519.0,Yoga,17.0,2.7,5,3,26.75
43,Female,53.1,1.59,187,136,72,0.82,502.0,Strength,29.5,2.5,2,1,21.0
58,Male,90.2,1.72,199,150,55,0.9,668.0,HIIT,28.3,2.1,2,1,30.49
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51
46,Female,58.0,1.53,196,140,62,1.83,1153.0,Cardio,18.4,2.7,4,3,24.78
46,Male,94.7,1.82,164,120,69,1.47,873.0,Cardio,23.2,3.2,3,2,28.59
45,Male,78.3,1.96,166,167,62,1.29,1066.0,Cardio,29.0,2.2,3,1,20.38
50,Male,90.8,1.71,173,153,62,1.07,810.0,Yoga,22.6,3.4,4,2,31.05
18,Female,64.8,1.53,170,141,54,1.98,1396.0,Yoga,18.6,2.7,5,3,27.68
56,Male,48.3,1.87,165,156,51,0.68,525.0,HIIT,29.8,3.3,3,1,13.81
41,Male,67.0,1.77,161,149,50,1.22,900.0,HIIT,25.6,2.6,3,2,21.39
33,Female,64.1,1.63,186,120,74,1.58,948.0,Strength,16.4,2.7,5,3,24.13
19,Female,64.3,1.63,197,132,57,1.87,1234.0,Cardio,18.0,2.7,5,3,24.2
58,Male,74.6,1.75,193,137,58,1.09,739.0,HIIT,24.2,2.9,2,1,24.36
24,Female,72.9,1.76,175,127,68,0.86,546.0,Yoga,30.8,1.5,3,1,23.53
45,Female,65.5,1.57,192,133,59,0.66,395.0,Cardio,34.3,2.3,2,1,26.57
20,Male,55.0,1.6,172,168,67,1.12,1035.0,Yoga,24.0,3.2,4,2,21.48
42,Female,57.5,1.67,192,149,55,1.14,764.0,Yoga,34.1,2.4,2,1,20.62
38,Female,49.7,1.51,179,145,65,1.25,906.0,HIIT,32.6,2.5,3,1,21.8
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3,1,22.78
32,Male,89.8,1.92,199,168,67,1.93,1783.0,Strength,10.6,3.5,4,3,24.36
57,Female,51.4,1.63,183,134,73,1.2,724.0,Yoga,33.7,2.0,4,2,19.35
18,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27
42,Male,50.3,1.64,177,150,62,0.63,468.0,Strength,27.0,2.4,3,1,18.7
41,Female,64.9,1.57,166,123,53,1.04,576.0,HIIT,25.9,2.4,4,2,26.33
22,Male,96.3,1.63,180,162,62,1.35,1203.0,Cardio,27.1,2.4,4,2,36.25
36,Male,110.2,1.77,191,156,74,1.19,1021.0,HIIT,26.5,3.4,2,1,35.18
52,Female,61.5,1.69,160,152,63,1.8,1231.0,Cardio,15.5,2.7,4,3,21.53
23,Male,107.0,1.94,198,120,73,1.35,891.0,HIIT,23.5,2.9,2,1,28.43
29,Female,71.8,1.55,190,120,68,1.2,720.0,Cardio,26.3,2.4,4,2,29.89
18,Male,70.0,1.61,173,168,71,1.3,1201.0,Strength,23.9,2.5,2,1,27.01
47,Male,82.1,1.84,185,136,65,1.37,922.0,Strength,24.4,3.4,4,2,24.25
49,Male,46.5,1.72,169,120,72,1.4,832.0,Yoga,22.2,2.6,4,2,15.72
30,Male,113.4,1.91,177,137,54,1.27,957.0,HIIT,22.2,3.7,3,1,31.08
49,Female,70.2,1.67,186,166,50,0.93,695.0,Strength,32.5,1.8,3,1,25.17
47,Male,88.4,1.6,186,126,60,1.86,1160.0,HIIT,14.2,3.5,5,3,34.53
28,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3,2,20.06
45,Female,57.2,1.55,194,121,58,1.67,909.0,Cardio,18.4,2.7,5,3,23.81
47,Female,41.6,1.58,160,163,68,1.03,756.0,Yoga,26.6,2.1,4,2,16.66
28,Male,76.3,1.62,161,162,70,1.16,1034.0,Strength,20.1,2.3,3,2,29.07
27,Male,87.5,1.63,183,135,74,1.75,1299.0,Strength,12.9,3.5,5,3,32.93
36,Male,109.8,1.62,193,141,68,0.84,651.0,HIIT,24.4,3.5,3,1,41.84
40,Female,55.1,1.61,184,158,64,1.55,1224.0,Yoga,16.9,2.7,4,3,21.26
36,Male,112.4,1.63,164,135,58,1.02,757.0,Cardio,25.0,3.4,4,2,42.3
52,Male,45.1,1.72,196,129,70,0.93,594.0,Cardio,27.5,3.3,2,1,15.24
43,Male,82.9,1.95,181,160,70,1.9,1505.0,Cardio,12.9,3.5,5,3,21.8
22,Male,45.7,1.77,164,139,73,1.04,795.0,HIIT,20.7,2.4,3,1,14.59
58,Male,82.2,1.87,171,143,55,1.57,1111.0,HIIT,10.7,3.5,4,3,23.51
57,Female,51.9,1.57,169,151,67,1.05,713.0,HIIT,29.1,2.6,3,2,21.06
30,Male,90.0,1.66,165,152,71,1.32,1104.0,Cardio,26.6,2.1,4,2,32.66
40,Male,51.7,1.82,161,160,71,0.9,792.0,Strength,21.4,3.0,3,1,15.61
39,Male,105.5,1.99,199,133,71,0.81,593.0,HIIT,26.4,2.5,2,1,26.64
36,Male,84.0,1.94,168,123,50,1.8,1218.0,HIIT,11.2,3.5,5,3,22.32
23,Male,108.6,1.92,197,134,50,0.89,656.0,Yoga,25.8,3.5,2,1,29.46
20,Male,85.7,1.92,172,136,58,1.72,1287.0,Cardio,10.5,3.5,5,3,23.25
40,Male,87.9,1.87,196,134,54,1.96,1445.0,Strength,10.7,3.5,5,3,25.14
43,Female,53.8,1.72,173,160,71,1.03,742.0,Strength,30.2,2.3,4,2,18.19
28,Female,67.3,1.67,171,157,74,0.61,479.0,Strength,29.2,2.3,3,1,24.13
28,Female,56.0,1.5,193,128,56,1.94,1242.0,Strength,16.7,2.7,5,3,24.89
56,Male,129.5,1.95,160,129,66,1.0,639.0,Strength,25.2,3.5,2,1,34.06
33,Female,55.6,1.61,161,147,54,1.77,1301.0,Yoga,18.9,2.7,4,3,21.45
27,Male,75.7,1.76,167,132,66,0.68,494.0,Cardio,25.3,2.3,3,1,24.44
41,Male,66.1,1.69,187,143,68,0.77,545.0,Yoga,27.4,3.4,2,1,23.14
48,Female,68.2,1.69,170,159,73,0.75,537.0,HIIT,28.4,2.5,3,1,23.88
20,Female,44.2,1.61,177,122,69,1.08,659.0,HIIT,32.4,2.5,2,1,17.05
31,Female,61.1,1.76,189,150,67,1.81,1358.0,Yoga,18.6,2.7,4,3,19.72
53,Female,78.3,1.65,164,126,50,1.24,703.0,HIIT,33.7,1.6,3,1,28.76
24,Female,42.0,1.75,174,144,55,0.83,598.0,Strength,31.8,2.3,3,1,13.71
37,Female,73.3,1.74,188,141,65,1.03,726.0,Cardio,25.5,2.4,3,2,24.21
43,Male,81.0,1.78,188,152,65,1.58,1189.0,Yoga,12.4,3.5,5,3,25.56
37,Female,69.5,1.5,196,130,66,0.69,448.0,Cardio,32.8,2.4,2,1,30.89
38,Female,45.2,1.68,193,144,58,1.01,727.0,HIIT,29.9,2.4,3,2,16.01
52,Male,85.5,1.8,190,136,66,1.7,1144.0,Strength,10.1,3.5,5,3,26.39
27,Male,88.5,1.98,161,153,53,1.8,1515.0,Cardio,11.1,3.5,4,3,22.57
50,Female,55.4,1.55,175,122,65,1.85,1016.0,Strength,18.5,2.7,4,3,23.06
38,Female,57.7,1.56,185,132,54,1.64,1082.0,HIIT,16.6,2.7,5,3,23.71
23,Male,83.8,1.99,179,130,71,1.79,1280.0,Cardio,11.0,3.5,4,3,21.16
30,Male,62.9,1.92,170,127,70,1.13,789.0,HIIT,25.2,3.6,2,1,17.06
50,Female,56.5,1.6,196,140,61,1.88,1184.0,Yoga,19.2,2.7,5,3,22.07
28,Female,69.6,1.58,182,135,50,1.49,1006.0,Cardio,27.8,2.0,3,2,27.88
54,Female,46.6,1.5,175,165,58,1.38,1025.0,Strength,30.6,2.0,2,1,20.71
41,Male,94.1,1.62,172,139,50,1.13,777.0,Cardio,23.4,3.1,4,2,35.86
32,Male,84.0,1.74,195,127,63,1.45,1013.0,Strength,25.8,2.1,3,1,27.74
29,Male,125.9,2.0,186,152,67,1.36,1137.0,Strength,24.7,3.1,4,2,31.48
55,Male,84.7,1.79,178,122,52,1.19,719.0,Cardio,23.3,2.4,3,2,26.43
50,Female,61.6,1.75,192,166,74,1.22,911.0,Strength,25.5,2.2,4,2,20.11
21,Female,72.6,1.68,162,127,70,1.19,756.0,Cardio,34.2,1.8,3,2,25.72
45,Male,118.4,1.95,178,168,59,1.06,881.0,Yoga,24.9,2.4,3,2,31.14
21,Male,96.7,1.72,161,151,62,1.26,1046.0,Strength,25.0,2.8,3,1,32.69
39,Male,85.3,1.89,163,140,61,0.77,593.0,Strength,27.6,3.6,2,1,23.88
44,Female,77.7,1.79,198,165,53,1.41,1047.0,HIIT,28.1,2.2,3,1,24.25
49,Male,81.4,1.83,167,125,73,1.98,1225.0,Yoga,13.6,3.5,5,3,24.31
19,Female,50.6,1.68,193,145,64,1.21,877.0,Yoga,30.6,2.1,3,2,17.93
29,Male,106.5,1.81,177,156,60,1.29,1107.0,Cardio,25.7,2.5,4,2,32.51
46,Male,55.1,1.72,164,137,66,1.43,970.0,Yoga,20.5,3.6,3,2,18.62
58,Female,46.1,1.67,187,129,70,1.28,743.0,Yoga,25.3,1.8,4,2,16.53
32,Male,126.4,1.83,198,146,62,1.1,883.0,HIIT,28.2,2.1,3,2,37.74
58,Female,75.4,1.78,161,140,63,1.05,662.0,Cardio,26.0,2.5,4,2,23.8
44,Male,89.3,1.99,192,135,58,1.4,936.0,HIIT,26.3,2.0,4,2,22.55
32,Male,78.6,1.62,195,125,69,1.28,880.0,Yoga,29.6,3.1,3,1,29.95
48,Female,73.0,1.59,196,149,64,1.19,798.0,Strength,32.0,2.1,3,2,28.88
53,Male,51.8,1.74,179,127,61,1.23,773.0,Strength,21.3,3.7,3,2,17.11
52,Female,44.1,1.62,179,121,61,1.41,768.0,HIIT,34.8,1.6,3,1,16.8
39,Male,71.7,1.88,198,147,51,0.55,445.0,Cardio,23.7,2.2,2,1,20.29
39,Male,107.7,1.88,162,160,59,0.72,634.0,Strength,28.1,3.6,2,1,30.47
19,Male,82.4,1.96,174,169,62,1.9,1766.0,HIIT,10.1,3.5,5,3,21.45
50,Male,57.1,1.91,184,131,68,1.09,707.0,Yoga,29.5,2.7,4,2,15.65
42,Female,59.5,1.74,195,141,52,1.78,1129.0,Yoga,16.4,2.7,5,3,19.65
40,Female,63.5,1.61,163,159,59,1.31,1041.0,Cardio,33.4,1.6,3,2,24.5
42,Male,85.2,1.81,189,151,65,1.54,1151.0,Yoga,13.7,3.5,5,3,26.01
45,Male,81.4,1.61,164,141,55,1.14,796.0,Cardio,30.0,2.2,4,2,31.4
40,Male,68.9,1.99,180,149,51,1.16,951.0,Cardio,25.0,2.4,4,2,17.4
34,Female,51.0,1.62,162,158,53,1.42,1122.0,Yoga,30.8,2.4,3,2,19.43
21,Female,55.2,1.55,163,161,53,1.37,1103.0,Strength,31.7,1.7,4,2,22.98
48,Female,69.1,1.6,191,166,53,1.34,1001.0,Strength,26.1,2.0,4,2,26.99
48,Male,73.7,1.61,172,121,63,1.36,815.0,Cardio,21.8,3.6,4,2,28.43
45,Male,113.4,1.71,190,129,63,0.83,530.0,Strength,24.0,2.3,2,1,38.78
36,Male,56.2,1.95,183,128,64,1.09,767.0,Strength,22.5,3.4,4,2,14.78
54,Male,55.2,1.71,164,152,67,0.77,579.0,Cardio,24.4,2.8,2,1,18.88
55,Female,76.3,1.73,196,158,65,1.08,768.0,Yoga,32.0,2.6,3,1,25.49
49,Male,85.0,1.68,197,163,74,1.82,1468.0,HIIT,11.3,3.5,4,3,30.12
48,Female,56.8,1.51,185,126,52,1.37,777.0,HIIT,32.1,2.1,4,2,24.91
18,Female,62.0,1.59,190,162,50,1.23,996.0,Strength,33.2,2.2,4,2,24.52
55,Female,63.0,1.7,187,121,67,1.32,719.0,Strength,34.9,2.5,3,1,21.8
45,Female,71.2,1.68,172,144,63,1.37,888.0,Strength,34.1,1.6,3,1,25.23
40,Female,72.2,1.6,173,130,67,0.87,566.0,Yoga,29.2,1.9,3,1,28.2
39,Female,56.0,1.6,184,151,69,0.89,672.0,Yoga,32.6,2.0,2,1,21.87
42,Male,64.8,1.65,161,166,67,1.1,904.0,Cardio,24.4,2.8,3,2,23.8
26,Female,59.3,1.51,181,129,71,1.7,1096.0,Strength,15.1,2.7,5,3,26.01
50,Male,90.0,1.7,168,124,74,0.81,497.0,Cardio,22.9,2.7,2,1,31.14
50,Female,66.3,1.57,192,132,73,1.25,742.0,HIIT,31.6,1.6,2,1,26.9
58,Male,52.0,1.79,173,169,52,1.12,937.0,HIIT,29.6,3.0,3,1,16.23
46,Male,103.9,1.77,194,148,54,1.18,864.0,Yoga,20.9,2.9,2,1,33.16
49,Male,115.3,1.91,161,125,61,1.38,854.0,HIIT,29.2,3.2,2,1,31.61
30,Female,77.9,1.77,166,130,62,1.41,916.0,Cardio,27.9,2.6,4,2,24.87
58,Male,109.0,1.91,198,156,56,1.49,1151.0,Yoga,26.0,2.2,3,2,29.88
47,Female,43.4,1.62,179,132,64,0.51,303.0,Cardio,25.3,2.3,3,1,16.54
50,Female,58.4,1.79,164,131,56,1.6,943.0,HIIT,17.0,2.7,4,3,18.23
50,Female,51.8,1.5,182,141,58,1.32,838.0,HIIT,33.0,2.2,3,1,23.02
40,Male,60.2,1.88,183,141,61,1.22,946.0,Cardio,25.2,3.0,3,2,17.03
33,Male,45.9,1.89,193,144,50,1.45,1148.0,Cardio,21.6,2.9,3,2,12.85
19,Male,110.8,1.91,161,149,54,1.31,1074.0,Strength,23.3,2.9,2,1,30.37
40,Female,56.2,1.79,198,153,57,1.79,1369.0,Yoga,17.6,2.7,5,3,17.54
25,Female,59.4,1.51,185,161,54,1.62,1304.0,Cardio,19.8,2.7,5,3,26.05
43,Female,64.7,1.66,191,132,69,1.88,1117.0,Yoga,19.8,2.7,4,3,23.48
21,Male,101.2,1.84,181,132,50,1.3,944.0,Yoga,24.3,3.3,2,1,29.89
23,Female,56.7,1.55,179,132,73,1.38,911.0,Cardio,34.0,1.9,4,2,23.6
33,Female,56.4,1.54,165,155,63,1.06,822.0,Strength,29.2,1.5,3,1,23.78
57,Male,76.6,1.86,173,141,55,1.14,796.0,Yoga,25.4,2.8,4,2,22.14
20,Female,46.5,1.68,187,145,72,0.91,660.0,HIIT,27.9,2.4,2,1,16.48
25,Female,64.4,1.71,179,167,61,1.12,935.0,HIIT,27.1,1.8,3,1,22.02
34,Female,59.0,1.62,178,150,56,1.13,847.0,Cardio,30.9,2.4,4,2,22.48
35,Male,70.1,1.79,185,125,63,1.08,743.0,Cardio,28.0,2.3,3,2,21.88
33,Male,81.8,1.99,184,137,51,1.59,1198.0,Strength,10.5,3.5,4,3,20.66
49,Female,49.2,1.54,179,153,63,1.28,881.0,HIIT,30.7,2.1,3,2,20.75
52,Female,57.9,1.56,166,152,68,1.66,1135.0,HIIT,15.8,2.7,4,3,23.79
33,Female,58.0,1.53,180,126,50,1.84,1159.0,Strength,18.3,2.7,5,3,24.78
39,Male,93.4,1.7,191,155,50,1.1,938.0,Strength,21.1,2.5,4,2,32.32
49,Female,69.3,1.62,191,122,62,1.14,626.0,HIIT,28.8,1.9,4,2,26.41
57,Male,83.4,1.65,172,166,67,1.57,1290.0,HIIT,13.3,3.5,4,3,30.63
56,Male,84.6,1.63,184,141,52,1.01,705.0,HIIT,20.2,2.9,4,2,31.84
25,Male,95.6,1.9,190,160,72,1.47,1294.0,Cardio,23.8,2.4,4,2,26.48
31,Female,66.6,1.67,184,137,71,1.02,699.0,Yoga,31.0,1.5,4,2,23.88
54,Male,86.0,1.93,171,163,51,1.74,1404.0,Strength,12.9,3.5,5,3,23.09
36,Male,85.4,1.88,195,137,60,1.98,1492.0,Yoga,13.5,3.5,5,3,24.16
46,Female,63.1,1.61,187,152,68,1.0,684.0,Strength,34.7,2.2,4,2,24.34
25,Female,77.7,1.55,184,120,52,0.55,330.0,Yoga,33.0,1.7,2,1,32.34
18,Male,83.2,1.96,183,150,67,1.83,1510.0,HIIT,13.6,3.5,4,3,21.66
33,Female,74.2,1.76,192,145,66,1.15,834.0,Strength,25.9,1.5,4,2,23.95
22,Male,98.4,1.88,194,135,71,0.52,386.0,Cardio,21.3,2.2,2,1,27.84
35,Female,65.8,1.62,189,158,69,1.0,790.0,Cardio,33.8,1.5,4,2,25.07
56,Female,59.3,1.56,182,155,57,1.26,879.0,Cardio,33.4,2.6,4,2,24.37
45,Male,93.0,1.91,175,143,55,1.03,729.0,Cardio,27.3,3.7,3,2,25.49
32,Male,68.3,1.92,168,165,54,1.42,1289.0,Strength,29.9,3.5,2,1,18.53
30,Male,120.3,1.96,171,136,65,0.66,494.0,Yoga,23.9,2.6,2,1,31.32
54,Female,70.7,1.57,198,163,65,1.14,836.0,Cardio,31.8,2.1,3,1,28.68
29,Male,55.7,1.61,177,128,51,1.41,993.0,Strength,28.7,2.3,3,1,21.49
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.89
27,Male,76.5,1.97,180,165,61,1.13,1025.0,Strength,21.3,2.3,2,1,19.71
21,Female,51.0,1.71,174,132,73,1.07,706.0,HIIT,34.2,2.2,3,2,17.44
31,Female,77.4,1.71,190,137,52,1.26,863.0,Cardio,26.2,1.8,4,2,26.47
46,Female,47.9,1.72,171,147,57,1.41,933.0,Cardio,26.3,2.0,3,1,16.19
20,Male,82.7,1.99,179,146,59,1.69,1357.0,HIIT,14.6,3.5,5,3,20.88
23,Female,60.1,1.59,191,123,52,1.8,1107.0,HIIT,17.6,2.7,4,3,23.77
46,Male,88.7,1.63,166,146,66,0.75,542.0,Strength,28.8,3.5,2,1,33.38
